Brand,Model,Battery_Life_Minutes,Charging_Time_Hours,Dustbin_Capacity_ml,Suction_Power_Pa,Noise_Level_dB,WiFi_Connectivity,App_Control,Voice_Control,Mapping_Technology,Obstacle_Avoidance,HEPA_Filter,Auto_Dock,Runtime_Adjustment,Carpet_Boost,Number_of_Sensors,Weight_kg,Height_cm,Smart_Scheduling,Multi_Floor_Mapping,Mop_Function,Self_Emptying,Price_USD
iRobot,iRobot X50 Ultra,199,4.8,687,2595,68,No,Yes,No,Lidar+Camera,No,Yes,No,No,Yes,19,5.3,8.3,No,No,No,No,264
iRobot,iRobot X71 Ultra,127,3.0,499,3870,68,No,No,Yes,Lidar+Camera,Yes,Yes,No,Yes,Yes,18,4.1,7.5,Yes,No,Yes,No,1161
Neato,Neato R91 Pro,121,4.5,400,4013,70,Yes,No,No,Infrared,Yes,No,No,No,Yes,14,2.9,10.3,No,Yes,No,No,899
Roborock,Roborock X89 Pro,83,2.7,458,5288,59,No,No,Yes,Infrared,Yes,No,Yes,No,Yes,14,4.6,10.8,Yes,Yes,Yes,Yes,690
Samsung,Samsung V29 Pro,113,5.5,391,1962,57,No,No,No,Lidar,Yes,No,No,Yes,No,18,5.0,8.5,Yes,Yes,Yes,Yes,878
iRobot,iRobot S88 Pro,155,4.0,480,5030,55,Yes,No,Yes,Infrared,Yes,Yes,No,No,Yes,10,2.7,9.0,No,No,Yes,No,786
Roborock,Roborock V92 Ultra,173,3.4,698,4881,70,No,Yes,Yes,Lidar,Yes,No,No,No,Yes,10,4.2,9.9,Yes,Yes,Yes,No,1123
Samsung,Samsung R45 Pro,104,3.2,665,3134,67,Yes,Yes,Yes,Infrared,Yes,No,Yes,Yes,Yes,17,4.8,10.1,No,No,No,Yes,571
Dreame,Dreame V30 Ultra,126,5.7,481,5455,57,Yes,Yes,No,Lidar,Yes,No,Yes,Yes,No,11,5.1,7.1,Yes,No,Yes,No,649
Samsung,Samsung X9 Pro,129,5.4,452,2375,61,No,No,Yes,Camera,No,No,Yes,No,No,10,4.0,9.0,No,Yes,No,No,755
iRobot,iRobot R26 Max,80,5.3,515,2658,64,Yes,Yes,No,Infrared,Yes,No,No,No,No,11,3.7,8.3,No,Yes,Yes,Yes,704
Ecovacs,Ecovacs X38 Max,141,3.7,643,3872,69,Yes,Yes,No,Infrared,Yes,Yes,Yes,No,No,10,3.7,8.7,No,No,No,Yes,985
Eufy,Eufy S76 Pro,176,5.3,479,4689,64,Yes,Yes,No,Lidar+Camera,No,No,Yes,Yes,No,7,3.4,8.5,No,No,Yes,Yes,530
Ecovacs,Ecovacs S94,182,6.0,594,5865,61,No,No,No,Lidar,Yes,No,No,No,Yes,20,2.9,9.1,Yes,Yes,Yes,No,1142
Dreame,Dreame X87 Ultra,61,5.3,460,5219,61,Yes,No,Yes,Camera,Yes,No,No,No,No,13,3.7,10.9,No,Yes,No,No,237
Xiaomi,Xiaomi S98 Max,71,2.8,494,3107,63,Yes,Yes,No,Lidar,No,No,Yes,Yes,No,14,3.9,9.3,No,No,Yes,No,303
Ecovacs,Ecovacs X31 Max,156,3.2,625,3025,59,No,Yes,Yes,Infrared,No,Yes,No,No,No,11,5.1,9.8,Yes,Yes,No,No,1129
Xiaomi,Xiaomi S85 Ultra,199,4.7,479,1788,58,No,Yes,No,Camera,No,No,Yes,Yes,Yes,7,5.2,10.7,Yes,No,Yes,No,838
Ecovacs,Ecovacs S7 Pro,108,4.7,376,4545,62,No,Yes,Yes,Lidar,No,Yes,No,No,No,12,5.1,10.4,Yes,Yes,Yes,No,323
Neato,Neato V18,88,5.2,635,3998,56,Yes,Yes,No,Infrared,No,Yes,Yes,Yes,No,20,3.3,8.5,Yes,Yes,No,Yes,798
Proscenic,Proscenic X28,185,3.2,510,1706,62,Yes,Yes,No,Camera,No,Yes,No,Yes,No,18,3.4,8.4,Yes,Yes,Yes,Yes,322
Samsung,Samsung R40 Ultra,96,4.1,420,2955,70,Yes,Yes,No,Lidar,No,No,Yes,No,No,19,5.3,7.5,Yes,No,Yes,Yes,539
Neato,Neato X10 Pro,106,3.7,534,2248,70,Yes,Yes,Yes,Lidar+Camera,No,No,No,Yes,No,10,2.9,7.5,Yes,Yes,No,No,175
Proscenic,Proscenic R76,104,5.4,601,4029,67,Yes,Yes,Yes,Camera,No,No,Yes,No,Yes,19,2.6,10.5,Yes,No,Yes,Yes,367
Ecovacs,Ecovacs X47,199,3.5,538,3540,67,Yes,Yes,Yes,Infrared,No,No,Yes,Yes,Yes,11,2.7,10.8,Yes,Yes,No,Yes,178
Samsung,Samsung S13 Ultra,121,5.6,669,5526,61,No,No,No,Camera,Yes,No,No,Yes,No,17,3.0,9.9,Yes,Yes,No,No,331
Eufy,Eufy R26 Pro,138,5.3,409,1684,66,No,No,Yes,Infrared,No,Yes,Yes,Yes,Yes,10,3.3,10.9,No,No,Yes,Yes,677
Neato,Neato S19 Pro,155,5.2,542,4836,63,No,No,Yes,Infrared,Yes,No,No,No,Yes,14,3.9,9.2,No,Yes,Yes,No,640
iRobot,iRobot S36,199,2.8,645,1865,68,Yes,Yes,No,Lidar,Yes,Yes,No,Yes,Yes,16,5.0,8.3,Yes,Yes,No,No,957
Samsung,Samsung X12 Ultra,191,3.6,681,5815,58,No,No,Yes,Lidar+Camera,Yes,Yes,Yes,Yes,No,16,4.2,8.7,Yes,Yes,No,Yes,670
Proscenic,Proscenic V53 Max,134,5.4,618,2031,68,Yes,No,Yes,Lidar+Camera,Yes,No,Yes,Yes,No,7,5.3,9.4,Yes,Yes,No,No,375
Neato,Neato V52,170,4.3,505,2610,63,No,Yes,No,Lidar+Camera,No,No,Yes,Yes,Yes,9,5.1,10.5,No,No,No,No,699
LG,LG V67 Ultra,138,4.0,593,3522,56,Yes,No,Yes,Infrared,Yes,No,Yes,No,Yes,16,4.9,9.7,Yes,Yes,Yes,No,226
Eufy,Eufy R34,101,4.8,383,2002,63,No,Yes,No,Lidar,No,No,No,No,Yes,12,5.2,8.9,Yes,No,No,Yes,563
Eufy,Eufy R11,158,5.0,677,2329,65,Yes,No,Yes,Camera,No,Yes,Yes,Yes,Yes,20,3.3,8.7,No,No,No,No,891
Xiaomi,Xiaomi X77 Max,78,2.6,693,3706,57,No,Yes,No,Lidar+Camera,Yes,Yes,No,No,Yes,10,4.4,10.6,Yes,No,Yes,No,595
Neato,Neato S69 Pro,189,4.4,377,2805,60,Yes,No,No,Infrared,No,Yes,Yes,Yes,Yes,10,2.8,9.7,Yes,No,No,No,1033
Proscenic,Proscenic S5 Ultra,124,3.3,393,2798,63,Yes,No,No,Infrared,No,Yes,Yes,Yes,No,16,3.7,8.0,No,Yes,Yes,Yes,762
LG,LG S52 Max,154,5.2,452,1701,58,Yes,Yes,No,Infrared,No,Yes,Yes,No,No,13,4.1,7.9,Yes,Yes,No,No,606
Dreame,Dreame X49 Pro,117,3.7,456,3910,57,No,Yes,Yes,Camera,Yes,Yes,Yes,Yes,No,11,5.0,8.0,No,No,No,No,243
Dreame,Dreame R65 Max,62,4.9,356,5868,64,No,No,No,Camera,No,No,No,Yes,No,16,4.2,10.1,No,No,No,Yes,279
Samsung,Samsung S76,153,4.9,532,3793,70,Yes,Yes,No,Infrared,No,No,Yes,Yes,No,15,3.0,7.7,No,No,No,Yes,618
Ecovacs,Ecovacs V56,128,5.6,562,3568,64,Yes,No,No,Camera,Yes,No,Yes,No,No,17,4.1,8.2,Yes,Yes,Yes,Yes,941
iRobot,iRobot V34 Pro,93,3.9,559,4866,69,No,No,Yes,Lidar,Yes,Yes,Yes,No,No,7,3.9,7.4,No,Yes,Yes,Yes,229
Eufy,Eufy S97,132,2.6,476,5982,64,Yes,No,No,Lidar,No,Yes,Yes,No,No,20,4.2,8.2,No,No,No,Yes,1148
iRobot,iRobot X91 Pro,169,4.8,531,3162,58,No,No,Yes,Infrared,Yes,Yes,Yes,No,No,19,4.1,8.2,Yes,Yes,Yes,Yes,1179
Ecovacs,Ecovacs V40,61,5.6,404,5445,67,No,Yes,Yes,Camera,No,No,Yes,No,No,9,4.1,8.0,Yes,No,Yes,No,1175
Samsung,Samsung R84,68,2.9,415,1682,63,Yes,Yes,No,Lidar+Camera,No,Yes,Yes,No,No,7,4.4,7.7,No,No,No,Yes,1110
Dreame,Dreame V24 Max,159,5.2,567,4820,67,No,Yes,Yes,Lidar,Yes,Yes,Yes,No,No,6,4.6,10.5,Yes,No,No,Yes,799
Roborock,Roborock V7 Max,187,4.7,391,3031,65,Yes,Yes,Yes,Camera,No,No,No,No,Yes,12,3.6,7.2,Yes,No,No,Yes,590
Xiaomi,Xiaomi X87 Pro,76,4.3,494,3852,67,Yes,Yes,Yes,Infrared,No,No,No,Yes,No,6,5.2,7.7,Yes,No,Yes,Yes,693
iRobot,iRobot R64 Ultra,84,4.1,494,2487,65,No,Yes,No,Infrared,No,No,No,Yes,No,19,3.0,7.2,Yes,No,Yes,Yes,301
Neato,Neato V95 Pro,138,5.8,615,5911,62,Yes,No,Yes,Lidar+Camera,No,No,No,Yes,No,20,3.7,9.0,Yes,Yes,No,Yes,211
Ecovacs,Ecovacs R35 Pro,97,3.5,591,3687,68,Yes,Yes,Yes,Lidar,Yes,Yes,Yes,No,Yes,11,4.1,8.4,No,No,Yes,No,937
Roborock,Roborock S95,97,3.7,659,1825,61,No,No,No,Infrared,No,Yes,Yes,No,Yes,16,4.5,9.6,No,No,No,Yes,816
Xiaomi,Xiaomi X72,155,3.7,515,4733,65,Yes,Yes,Yes,Camera,Yes,Yes,Yes,No,No,15,2.9,8.4,No,No,Yes,Yes,1168
Proscenic,Proscenic X78,200,5.4,381,1925,67,Yes,No,Yes,Lidar+Camera,Yes,No,No,Yes,No,17,2.8,8.4,Yes,No,Yes,No,167
Roborock,Roborock S36 Pro,124,3.3,568,2783,70,No,Yes,Yes,Infrared,No,Yes,Yes,No,Yes,19,2.6,9.2,Yes,Yes,No,No,318
Proscenic,Proscenic S51 Max,73,3.7,588,3732,63,Yes,No,No,Infrared,No,No,Yes,No,No,18,3.2,7.8,Yes,Yes,Yes,Yes,1076
Neato,Neato X48 Ultra,72,5.1,645,2324,57,Yes,No,No,Lidar,No,No,Yes,Yes,No,12,2.7,9.0,No,Yes,No,No,920
Xiaomi,Xiaomi X93 Ultra,156,3.0,653,4714,68,Yes,No,No,Lidar,Yes,No,Yes,Yes,Yes,10,4.7,9.6,Yes,Yes,No,No,554
Dreame,Dreame S53 Pro,72,5.0,671,3076,68,Yes,No,Yes,Lidar+Camera,No,No,No,Yes,No,8,3.4,7.0,No,Yes,Yes,Yes,985
LG,LG X5,153,5.2,504,4883,64,No,No,Yes,Camera,No,Yes,No,Yes,No,13,4.7,8.9,No,Yes,No,No,340
Dreame,Dreame S52 Ultra,133,4.3,549,5257,58,Yes,Yes,Yes,Lidar,Yes,No,No,Yes,Yes,17,4.2,8.6,Yes,Yes,No,Yes,1115
Neato,Neato V13,133,3.9,562,3887,59,No,No,No,Lidar,Yes,Yes,No,No,No,16,4.4,10.9,No,Yes,Yes,Yes,1067
LG,LG V60 Max,133,4.9,463,2718,56,No,Yes,No,Infrared,Yes,No,No,No,Yes,10,3.4,7.1,No,No,Yes,No,411
iRobot,iRobot S89 Ultra,144,5.1,583,1506,66,Yes,No,Yes,Camera,Yes,Yes,Yes,Yes,Yes,11,2.6,10.3,No,Yes,No,No,801
Xiaomi,Xiaomi X14 Max,187,4.3,618,4411,56,No,Yes,No,Camera,Yes,No,Yes,Yes,Yes,13,5.1,10.3,Yes,Yes,Yes,No,713
Eufy,Eufy V14 Pro,178,4.6,439,3813,58,Yes,Yes,Yes,Lidar,Yes,No,Yes,Yes,Yes,12,3.0,10.9,Yes,No,No,Yes,1012
Neato,Neato V52 Ultra,81,4.1,365,4077,62,Yes,No,Yes,Lidar,Yes,No,No,No,Yes,14,3.1,9.9,No,Yes,No,Yes,450
Ecovacs,Ecovacs X27 Max,159,3.6,490,2802,67,No,Yes,Yes,Lidar+Camera,Yes,Yes,No,Yes,No,12,3.9,8.3,No,Yes,No,No,184
Neato,Neato R44 Pro,75,4.5,485,2292,69,No,No,Yes,Camera,No,Yes,Yes,No,No,19,5.0,7.3,No,Yes,Yes,Yes,1019
Samsung,Samsung V82 Ultra,181,4.5,481,4634,70,Yes,No,No,Infrared,Yes,Yes,No,Yes,Yes,13,3.0,8.8,Yes,No,Yes,No,1043
iRobot,iRobot S71 Ultra,152,2.9,562,1637,56,No,Yes,Yes,Lidar+Camera,Yes,No,Yes,No,Yes,6,3.7,9.9,Yes,Yes,Yes,Yes,336
Ecovacs,Ecovacs R93 Max,146,3.3,690,4894,65,Yes,Yes,Yes,Camera,Yes,Yes,No,Yes,No,11,3.3,9.6,Yes,No,No,No,552
Samsung,Samsung X24 Pro,61,4.4,580,2099,69,No,Yes,No,Lidar+Camera,Yes,No,No,Yes,Yes,13,2.7,8.6,Yes,No,No,Yes,945
Proscenic,Proscenic V16,172,4.6,553,5494,56,Yes,Yes,Yes,Lidar+Camera,Yes,No,No,Yes,No,17,2.5,7.0,Yes,Yes,No,No,424
Neato,Neato V25 Max,71,3.6,591,3330,61,No,No,Yes,Infrared,No,No,No,Yes,No,8,4.9,9.9,No,No,Yes,Yes,826
Samsung,Samsung S94 Pro,78,3.6,524,5333,66,Yes,Yes,No,Lidar+Camera,Yes,No,Yes,No,Yes,20,4.2,7.3,Yes,No,No,No,613
Proscenic,Proscenic V24,166,5.1,431,3474,65,No,No,Yes,Infrared,No,No,Yes,Yes,Yes,13,4.1,9.8,Yes,Yes,Yes,Yes,653
LG,LG V96,172,4.7,646,2297,59,No,Yes,Yes,Lidar+Camera,No,No,No,No,Yes,17,5.2,10.3,Yes,Yes,Yes,No,216
iRobot,iRobot R91 Pro,68,5.5,651,2367,59,Yes,Yes,Yes,Infrared,No,No,No,No,No,10,3.1,10.6,No,No,No,No,1149
Proscenic,Proscenic S24,100,6.0,532,4663,62,No,Yes,No,Camera,Yes,Yes,Yes,Yes,No,15,3.6,10.4,Yes,No,Yes,No,150
iRobot,iRobot R78 Pro,62,2.7,513,4562,69,No,Yes,No,Lidar+Camera,Yes,Yes,No,No,Yes,16,2.7,10.2,Yes,Yes,Yes,No,600
Roborock,Roborock R75 Max,161,3.5,558,4259,62,No,Yes,Yes,Camera,No,Yes,No,Yes,No,17,3.4,8.4,No,No,Yes,Yes,1131
Ecovacs,Ecovacs R91,94,3.3,677,2728,60,Yes,No,No,Infrared,No,No,No,Yes,No,16,4.4,10.9,Yes,Yes,Yes,No,1082
Neato,Neato S87,71,5.7,386,2099,64,Yes,Yes,Yes,Lidar,Yes,Yes,Yes,Yes,Yes,12,4.0,10.1,No,Yes,No,No,1162
Eufy,Eufy S75 Max,62,5.4,603,4261,56,No,No,Yes,Camera,No,Yes,No,Yes,Yes,19,3.8,8.8,Yes,No,No,No,405
Roborock,Roborock R82,166,5.1,657,3413,57,No,No,No,Infrared,No,Yes,No,No,No,9,5.5,10.1,Yes,No,Yes,No,272
LG,LG V30,164,4.2,424,2465,56,Yes,Yes,Yes,Lidar+Camera,No,No,Yes,Yes,No,20,5.1,10.4,Yes,Yes,No,No,457
Ecovacs,Ecovacs V31 Ultra,133,2.8,599,4497,55,Yes,No,Yes,Camera,Yes,Yes,Yes,Yes,Yes,7,3.7,7.9,No,No,Yes,No,767
Ecovacs,Ecovacs X81,194,5.9,496,4883,62,Yes,No,No,Infrared,No,No,No,Yes,Yes,12,2.6,9.4,No,Yes,Yes,Yes,549
Samsung,Samsung X18 Ultra,120,5.8,539,5030,59,No,No,No,Infrared,No,Yes,Yes,No,No,19,5.4,10.6,No,No,No,No,1003
Eufy,Eufy S23 Max,80,3.8,464,3915,55,Yes,Yes,Yes,Infrared,Yes,Yes,Yes,No,Yes,15,4.8,8.1,Yes,Yes,No,Yes,238
Proscenic,Proscenic R90 Ultra,169,4.6,609,4410,64,No,Yes,Yes,Camera,No,Yes,No,No,No,18,4.4,9.9,No,No,No,No,998
iRobot,iRobot X27 Max,81,4.5,669,1852,59,No,No,No,Camera,Yes,No,Yes,No,No,7,3.7,7.3,No,Yes,No,No,898
Eufy,Eufy V91 Pro,196,5.8,606,5259,57,No,Yes,No,Camera,No,Yes,Yes,Yes,Yes,19,5.3,8.8,Yes,No,Yes,No,1005
Proscenic,Proscenic R14,184,4.8,372,1887,66,No,No,No,Lidar+Camera,Yes,Yes,Yes,Yes,Yes,15,2.5,7.5,Yes,No,No,No,867
Ecovacs,Ecovacs V42 Max,123,4.1,506,3826,55,No,No,No,Lidar+Camera,Yes,Yes,Yes,No,Yes,19,3.4,10.4,No,No,No,Yes,735
Ecovacs,Ecovacs S31 Ultra,140,3.5,412,4265,61,No,No,No,Infrared,No,Yes,No,Yes,Yes,20,5.5,10.7,No,Yes,No,No,638
Ecovacs,Ecovacs S30 Ultra,180,5.0,414,3529,61,Yes,No,Yes,Infrared,No,Yes,No,Yes,Yes,14,2.7,10.0,No,No,Yes,Yes,442
Xiaomi,Xiaomi S13 Ultra,134,5.7,384,3413,70,No,Yes,No,Lidar,Yes,Yes,No,Yes,No,9,4.2,10.6,No,Yes,Yes,No,270
Samsung,Samsung R93 Ultra,146,2.6,446,1890,67,No,No,Yes,Camera,No,Yes,No,Yes,Yes,6,4.0,8.6,Yes,No,Yes,Yes,973
Samsung,Samsung S75 Pro,77,4.2,539,1949,62,No,Yes,No,Camera,Yes,No,No,Yes,Yes,6,3.1,9.0,No,Yes,No,Yes,860
Dreame,Dreame R70,104,4.3,371,1947,58,No,Yes,Yes,Lidar,Yes,Yes,No,Yes,Yes,14,2.8,8.4,Yes,Yes,No,No,322
Eufy,Eufy V88,118,2.9,668,2829,59,Yes,No,Yes,Lidar+Camera,No,Yes,No,Yes,No,8,5.5,7.5,No,Yes,No,Yes,839
Xiaomi,Xiaomi V6,103,5.8,357,4789,62,No,No,Yes,Lidar,No,Yes,Yes,Yes,No,18,3.6,8.5,Yes,Yes,Yes,No,713
Eufy,Eufy V95 Ultra,176,4.0,535,5491,55,Yes,No,No,Lidar,No,Yes,No,Yes,No,8,3.8,8.3,No,No,Yes,No,1093
Ecovacs,Ecovacs S24 Pro,181,2.8,541,4941,57,Yes,Yes,Yes,Lidar,No,No,Yes,No,Yes,12,3.6,8.8,No,No,Yes,Yes,968
Neato,Neato X54 Pro,101,4.8,381,3571,67,Yes,Yes,No,Infrared,Yes,Yes,No,Yes,Yes,20,5.2,9.8,Yes,No,No,Yes,509
Xiaomi,Xiaomi R88 Max,174,3.7,400,5456,57,Yes,Yes,No,Infrared,No,No,Yes,No,Yes,11,4.1,7.9,Yes,No,Yes,No,623
Dreame,Dreame S98 Max,168,5.5,360,4160,58,Yes,Yes,No,Camera,Yes,Yes,No,No,No,11,3.1,10.9,Yes,No,Yes,Yes,323
Ecovacs,Ecovacs R96 Ultra,79,4.2,699,1789,61,No,Yes,No,Lidar,Yes,No,No,No,No,8,3.5,8.5,Yes,Yes,Yes,No,391
Dreame,Dreame V62 Ultra,127,5.5,618,5469,65,Yes,No,Yes,Lidar,Yes,Yes,No,Yes,No,17,2.5,10.5,No,No,Yes,No,901
Samsung,Samsung V46 Max,166,4.3,648,5384,64,Yes,Yes,No,Infrared,Yes,Yes,No,No,Yes,15,3.0,7.2,Yes,No,No,Yes,752
Eufy,Eufy R59 Ultra,192,4.5,586,2226,64,No,Yes,Yes,Infrared,No,Yes,Yes,Yes,No,15,4.8,9.4,No,Yes,No,No,1003
Dreame,Dreame V88 Max,132,4.0,469,5280,62,No,Yes,Yes,Lidar+Camera,Yes,No,Yes,No,Yes,20,2.8,9.8,No,Yes,Yes,No,474
Dreame,Dreame R79 Max,99,4.0,614,4362,68,Yes,Yes,No,Camera,Yes,No,No,Yes,Yes,8,2.9,7.2,No,Yes,No,No,207
Proscenic,Proscenic X74,148,3.6,508,4533,64,Yes,Yes,No,Lidar+Camera,Yes,Yes,Yes,No,Yes,20,3.0,9.6,No,Yes,No,No,829
Proscenic,Proscenic R61,93,4.2,459,5891,69,Yes,Yes,Yes,Camera,Yes,Yes,No,No,No,20,4.7,8.9,Yes,No,No,Yes,816
Ecovacs,Ecovacs X98,154,4.2,382,5117,66,No,No,Yes,Infrared,No,No,Yes,Yes,Yes,17,3.1,10.2,Yes,Yes,Yes,Yes,568
Xiaomi,Xiaomi S90 Ultra,141,4.9,392,1818,67,Yes,Yes,Yes,Camera,Yes,No,Yes,No,No,18,3.7,10.8,Yes,No,Yes,No,704
iRobot,iRobot V28 Pro,191,3.2,514,2921,69,No,No,Yes,Infrared,No,No,Yes,Yes,No,15,3.3,9.5,No,Yes,Yes,No,922
Ecovacs,Ecovacs X28 Pro,196,5.9,440,5287,59,No,Yes,No,Camera,Yes,Yes,Yes,Yes,Yes,16,3.6,7.9,No,Yes,No,No,485
Proscenic,Proscenic X32 Ultra,158,4.2,598,2762,58,Yes,Yes,Yes,Infrared,Yes,No,Yes,Yes,Yes,19,4.1,7.5,No,No,No,Yes,992
Ecovacs,Ecovacs S54,178,5.2,377,2822,62,Yes,Yes,No,Lidar+Camera,No,Yes,No,Yes,No,7,3.8,9.3,No,Yes,Yes,Yes,240
Samsung,Samsung V28,107,3.3,655,4053,67,No,No,No,Camera,Yes,Yes,Yes,Yes,Yes,6,4.8,8.9,Yes,Yes,Yes,Yes,167
Dreame,Dreame R5 Max,68,5.3,566,2025,57,No,Yes,Yes,Lidar+Camera,Yes,No,No,Yes,No,15,3.4,9.1,Yes,No,No,No,1180
Roborock,Roborock S29 Ultra,158,3.1,499,1946,67,No,Yes,No,Camera,No,No,No,No,Yes,11,4.2,9.5,Yes,No,Yes,No,750
Samsung,Samsung X9,152,2.8,675,3901,70,No,Yes,Yes,Camera,Yes,No,No,Yes,No,20,3.9,7.8,No,Yes,Yes,No,471
Proscenic,Proscenic S25,146,3.4,575,5862,56,Yes,No,No,Infrared,No,No,No,Yes,No,7,4.2,8.8,Yes,No,No,Yes,1151
LG,LG R80 Max,195,2.8,456,4555,63,Yes,No,No,Lidar,Yes,Yes,No,Yes,No,10,4.1,9.0,Yes,No,No,Yes,438
LG,LG R85 Max,138,3.3,595,3809,64,No,No,No,Lidar,Yes,Yes,No,Yes,No,6,4.2,10.2,Yes,Yes,Yes,Yes,600
Roborock,Roborock R18 Max,144,3.7,498,1781,65,No,Yes,No,Lidar+Camera,Yes,No,Yes,No,Yes,10,2.7,8.7,No,No,No,No,773
iRobot,iRobot V58,115,4.4,604,3803,60,No,No,No,Lidar+Camera,Yes,No,No,Yes,Yes,16,4.7,8.9,Yes,Yes,No,No,995
Eufy,Eufy S47 Ultra,116,5.5,652,2250,61,Yes,No,No,Lidar,No,Yes,No,Yes,No,10,3.8,10.2,Yes,No,No,No,466
Neato,Neato S85 Pro,131,5.7,680,5110,70,No,No,No,Infrared,Yes,Yes,No,Yes,No,16,4.4,10.2,No,No,No,No,404
iRobot,iRobot X57,65,3.8,352,5097,61,Yes,Yes,No,Lidar+Camera,No,No,Yes,Yes,Yes,19,4.6,9.1,Yes,Yes,Yes,No,350
Roborock,Roborock R9 Ultra,63,5.1,464,5514,69,No,No,No,Infrared,Yes,No,No,No,No,14,3.1,10.4,No,No,Yes,Yes,152
iRobot,iRobot S98 Max,109,5.7,452,1850,64,Yes,Yes,No,Lidar+Camera,No,Yes,No,No,Yes,14,3.0,9.3,No,No,Yes,Yes,754
Dreame,Dreame R78,90,5.1,482,2124,58,Yes,No,No,Lidar+Camera,No,Yes,Yes,Yes,No,6,4.4,10.7,No,No,No,No,1195
Eufy,Eufy S45 Pro,127,3.2,550,4778,56,Yes,Yes,No,Lidar,No,No,Yes,Yes,No,6,4.5,7.3,Yes,Yes,Yes,Yes,754
Samsung,Samsung X89 Pro,90,5.6,526,2870,57,Yes,No,No,Infrared,No,Yes,Yes,Yes,Yes,12,3.8,10.6,Yes,No,No,No,1039
LG,LG V81,128,2.6,562,5846,68,No,No,Yes,Lidar,No,No,No,No,No,9,2.9,7.1,Yes,No,No,Yes,956
Xiaomi,Xiaomi X45 Ultra,167,4.3,529,3923,61,No,Yes,No,Infrared,No,Yes,Yes,Yes,Yes,17,3.0,9.0,No,No,Yes,Yes,911
Roborock,Roborock R39 Max,118,2.9,634,5964,60,Yes,No,Yes,Camera,No,No,Yes,No,No,19,3.2,7.9,Yes,Yes,Yes,No,378
Proscenic,Proscenic R43 Ultra,155,3.4,695,1555,66,Yes,No,No,Camera,No,No,Yes,Yes,No,17,4.4,9.1,Yes,Yes,No,No,715
Proscenic,Proscenic R11 Max,88,5.6,476,5979,62,Yes,No,No,Camera,No,Yes,No,No,No,17,5.0,7.1,No,Yes,No,No,1088
iRobot,iRobot X93 Max,179,5.6,625,2089,69,No,Yes,Yes,Lidar,Yes,Yes,Yes,No,No,16,4.4,8.7,Yes,No,No,Yes,779
iRobot,iRobot V65,129,3.9,427,4395,68,No,No,Yes,Lidar+Camera,No,No,No,Yes,No,6,5.0,7.1,Yes,Yes,No,No,226
Samsung,Samsung V40 Ultra,111,5.9,549,1523,66,Yes,No,No,Lidar,Yes,Yes,No,No,Yes,14,3.8,7.4,No,Yes,Yes,Yes,826
Roborock,Roborock X15 Ultra,143,3.3,676,2226,60,Yes,Yes,No,Infrared,No,No,Yes,No,No,11,4.0,7.4,No,Yes,Yes,No,392
iRobot,iRobot R11 Pro,100,4.5,607,2551,69,No,No,No,Lidar,Yes,Yes,Yes,No,No,9,5.4,7.1,No,No,Yes,Yes,1117
Xiaomi,Xiaomi S27 Ultra,117,3.6,402,5974,60,No,Yes,Yes,Infrared,No,No,No,No,Yes,12,2.6,9.8,No,Yes,No,Yes,207
Proscenic,Proscenic R64,67,5.4,523,1708,68,Yes,Yes,No,Lidar,No,No,No,Yes,Yes,15,4.0,7.1,Yes,No,Yes,No,220
Eufy,Eufy X77,175,2.8,595,2678,56,No,No,Yes,Infrared,Yes,No,Yes,No,No,8,4.6,10.4,No,Yes,No,Yes,934
Xiaomi,Xiaomi S43 Max,91,3.1,509,3074,56,No,Yes,Yes,Infrared,No,No,No,Yes,No,12,5.1,8.8,No,Yes,Yes,No,846
Ecovacs,Ecovacs V90 Max,120,3.7,384,2614,55,Yes,Yes,Yes,Camera,No,Yes,Yes,No,Yes,16,4.9,9.9,No,Yes,No,Yes,629
Neato,Neato R36,181,5.4,535,3387,55,Yes,Yes,No,Infrared,Yes,No,Yes,Yes,No,11,5.2,10.0,No,No,No,No,905
Xiaomi,Xiaomi V72 Max,196,3.7,434,2896,70,Yes,Yes,No,Lidar+Camera,No,Yes,Yes,No,No,19,4.8,10.7,No,Yes,Yes,Yes,194
Roborock,Roborock S16 Max,108,4.1,673,5997,67,No,No,Yes,Lidar,Yes,Yes,No,Yes,No,17,2.9,7.1,No,Yes,No,Yes,723
Xiaomi,Xiaomi R19,177,2.7,557,3060,65,No,Yes,No,Lidar+Camera,No,Yes,Yes,No,Yes,13,2.9,10.1,Yes,No,Yes,No,524
Neato,Neato S40,77,2.8,440,5089,65,Yes,No,No,Camera,No,Yes,Yes,Yes,No,12,5.0,9.0,Yes,Yes,No,No,464
Dreame,Dreame R85 Pro,86,3.5,577,4142,57,Yes,No,Yes,Infrared,No,Yes,Yes,Yes,No,7,2.5,8.7,Yes,Yes,No,No,312
Samsung,Samsung X79 Pro,155,4.3,483,4609,62,Yes,No,No,Lidar+Camera,Yes,Yes,Yes,No,No,19,2.6,8.7,Yes,Yes,Yes,No,959
Samsung,Samsung S37 Ultra,85,4.3,641,4375,61,No,No,No,Lidar,No,No,Yes,No,No,9,2.5,8.1,Yes,No,Yes,Yes,1125
Samsung,Samsung X83 Pro,92,2.8,521,3879,60,No,Yes,Yes,Camera,No,Yes,Yes,No,Yes,8,4.2,9.8,Yes,No,Yes,Yes,230
